customer_id,monthly_fee,tenure_months,support_tickets,logins_per_month,churn
1,50,7,0,55,0
2,100,36,0,51,1
3,30,29,3,30,0
4,100,24,1,52,0
5,100,39,4,46,0
6,20,4,0,32,0
7,30,29,2,10,0
8,30,44,2,34,0
9,30,5,1,11,0
10,100,29,2,48,1
11,50,30,5,49,0
12,30,29,1,37,0
13,100,26,2,54,0
14,20,19,0,27,0
15,50,26,1,50,0
16,20,37,2,48,0
17,50,27,3,10,0
18,100,30,2,38,0
19,10,30,1,22,0
20,50,3,0,24,0
21,20,43,1,8,0
22,100,7,2,6,0
23,50,9,1,55,1
24,10,41,1,4,1
25,10,42,0,5,1
26,30,13,1,6,1
27,30,15,2,47,1
28,20,5,2,32,0
29,50,29,1,38,1
30,50,35,2,51,0
31,30,27,2,57,0
32,50,27,1,20,0
33,50,8,0,40,0
34,10,32,2,45,1
35,30,20,1,36,0
36,100,10,2,54,0
37,30,13,0,49,0
38,100,29,1,14,0
39,10,35,1,50,0
40,20,8,1,47,0
41,50,29,1,54,0
42,10,31,0,19,1
43,50,41,3,11,0
44,20,30,1,39,0
45,20,22,1,1,0
46,10,21,2,35,0
47,20,12,1,19,0
48,100,11,1,33,1
49,20,2,0,32,1
50,50,41,1,36,0
51,50,2,1,24,0
52,50,34,2,43,0
53,50,3,5,7,1
54,100,16,1,7,1
55,30,4,6,46,0
56,10,23,1,47,0
57,50,20,0,5,0
58,20,25,2,14,1
59,50,30,2,45,0
60,20,18,2,52,0
61,20,42,1,26,0
62,50,11,2,54,0
63,100,29,4,50,0
64,20,17,3,1,0
65,20,26,3,13,0
66,50,23,0,23,0
67,20,20,1,20,0
68,20,45,2,7,0
69,50,2,1,6,0
70,50,24,2,59,0
71,10,31,2,9,0
72,100,27,0,28,0
73,100,2,3,10,1
74,20,14,2,54,0
75,100,4,1,35,0
76,20,13,3,7,0
77,10,36,1,25,1
78,50,35,4,30,0
79,50,44,0,43,0
80,50,8,0,26,0
81,100,2,5,44,0
82,10,6,0,12,0
83,100,31,1,13,1
84,100,10,1,54,0
85,10,44,1,55,0
86,10,21,1,40,0
87,10,42,2,4,0
88,10,10,2,53,1
89,50,23,0,52,0
90,30,3,0,1,0
91,30,32,3,6,0
92,10,20,0,55,1
93,30,10,0,2,0
94,30,29,1,54,1
95,10,41,3,46,0
96,30,46,2,27,0
97,100,34,1,18,0
98,20,37,0,42,0
99,20,20,2,29,0
100,10,8,0,53,0
101,50,7,0,33,0
102,10,6,1,3,0
103,50,11,0,20,0
104,20,44,3,4,0
105,10,18,1,18,1
106,100,42,1,8,0
107,30,29,2,22,0
108,50,25,1,41,0
109,30,21,1,22,0
110,30,46,3,19,0
111,10,3,1,28,0
112,30,18,1,2,1
113,100,24,2,9,1
114,30,47,1,35,0
115,10,38,2,22,0
116,100,10,4,26,0
117,20,27,2,34,0
118,30,12,1,7,0
119,10,7,1,30,0
120,20,17,2,49,0
121,20,1,0,25,0
122,50,26,2,49,0
123,100,15,3,9,1
124,30,33,1,27,0
125,10,37,1,1,0
126,50,47,1,33,0
127,100,31,1,8,0
128,50,35,1,49,0
129,100,1,5,32,0
130,100,8,2,40,0
131,30,12,3,19,0
132,100,19,0,36,0
133,50,25,1,50,0
134,100,32,1,45,0
135,30,12,0,22,0
136,30,13,0,39,0
137,50,28,1,26,0
138,20,1,2,3,0
139,20,6,2,46,0
140,100,8,1,9,0
141,10,4,2,35,0
142,100,5,2,7,0
143,50,25,2,15,0
144,50,22,2,4,0
145,50,28,5,37,0
146,50,39,1,28,0
147,50,23,2,9,0
148,30,4,1,35,0
149,20,4,1,48,0
150,50,47,0,48,0
151,10,21,0,51,0
152,10,37,2,25,0
153,10,41,0,9,0
154,10,2,1,52,0
155,30,7,4,33,1
156,10,16,1,17,0
157,50,17,0,12,0
158,100,20,0,9,1
159,10,23,1,54,0
160,30,34,0,5,0
161,30,11,2,47,0
162,10,34,1,26,0
163,100,33,3,45,0
164,10,26,1,19,0
165,30,2,1,35,0
166,20,23,1,2,0
167,50,41,3,45,0
168,30,22,1,7,0
169,10,34,1,9,1
170,50,15,2,22,0
171,10,10,1,42,1
172,10,15,8,33,0
173,20,42,3,54,0
174,50,29,3,16,0
175,50,23,1,43,0
176,20,17,1,24,0
177,30,9,3,8,0
178,10,36,1,30,0
179,100,9,4,26,0
180,10,16,0,45,1
181,10,36,0,48,0
182,30,33,3,35,0
183,10,31,2,45,0
184,20,6,2,17,0
185,20,10,1,53,0
186,50,16,1,38,0
187,100,4,1,10,0
188,10,22,1,41,0
189,10,13,2,50,0
190,30,16,2,17,0
191,20,29,3,7,0
192,100,6,1,2,0
193,50,26,3,11,0
194,20,11,3,50,0
195,50,24,1,3,0
196,30,29,1,46,1
197,30,3,1,20,0
198,10,10,0,13,0
199,100,1,1,23,1
200,50,43,1,17,0
201,20,26,0,29,0
202,30,12,1,54,1
203,10,14,2,43,0
204,10,25,0,39,1
205,50,8,2,32,0
206,30,43,1,35,0
207,100,4,1,35,0
208,30,28,1,34,0
209,50,7,2,21,0
210,50,10,1,16,0
211,30,36,1,23,0
212,50,2,1,11,1
213,30,26,0,14,0
214,20,14,0,3,1
215,30,16,0,7,0
216,30,43,1,40,0
217,50,42,0,45,0
218,50,17,3,51,0
219,10,46,1,11,0
220,10,22,3,33,0
221,20,4,2,19,0
222,10,19,2,45,0
223,30,2,2,54,0
224,50,39,1,49,0
225,10,9,1,41,0
226,10,19,2,51,0
227,20,16,2,51,1
228,20,25,2,23,0
229,30,18,4,23,1
230,50,23,3,29,1
231,20,21,2,6,0
232,10,11,1,39,1
233,50,39,1,5,0
234,50,41,1,32,1
235,10,4,2,40,0
236,20,25,0,26,0
237,10,32,3,14,0
238,50,30,2,18,1
239,100,45,1,21,0
240,100,26,0,59,0
241,30,36,0,25,0
242,10,34,1,20,0
243,10,9,0,24,0
244,30,12,1,3,0
245,30,2,1,22,0
246,30,38,2,8,0
247,50,5,1,46,0
248,10,5,1,57,0
249,50,22,0,46,1
250,30,5,3,29,0
251,10,4,1,7,1
252,50,9,2,6,1
253,50,29,3,59,0
254,30,22,4,6,1
255,10,27,3,12,0
256,30,10,0,22,0
257,10,16,3,47,0
258,100,42,1,26,0
259,20,42,0,25,1
260,20,10,1,19,0
261,20,6,2,36,0
262,30,5,4,35,0
263,100,6,4,13,0
264,10,47,2,25,0
265,50,25,2,48,0
266,10,4,2,45,0
267,50,40,1,32,0
268,10,32,0,30,0
269,100,35,0,21,0
270,50,10,0,42,0
271,30,34,1,45,1
272,10,36,3,40,0
273,10,6,2,44,0
274,50,43,0,8,0
275,30,46,1,41,0
276,30,16,2,42,0
277,100,19,0,7,0
278,30,34,2,3,0
279,30,25,1,37,0
280,30,31,3,3,0
281,20,41,2,18,0
282,100,17,2,51,0
283,10,47,3,42,0
284,50,30,1,9,0
285,10,39,2,57,0
286,100,31,1,24,0
287,50,19,5,7,1
288,100,35,0,33,0
289,30,29,0,25,0
290,50,1,3,42,0
291,30,4,2,34,0
292,10,28,3,38,0
293,10,18,1,58,0
294,50,26,0,21,0
295,50,40,3,38,0
296,100,19,2,56,0
297,100,6,2,40,0
298,30,1,1,58,0
299,50,8,0,18,0
300,10,33,2,39,0
301,100,43,0,50,0
302,100,21,3,33,1
303,10,24,4,28,0
304,100,25,1,56,0
305,30,47,1,25,0
306,50,43,3,14,1
307,10,19,3,55,0
308,50,29,0,20,0
309,100,10,1,39,0
310,100,12,1,20,0
311,10,33,2,7,0
312,30,7,1,4,0
313,20,17,3,31,0
314,10,10,0,30,1
315,20,31,0,57,0
316,20,6,2,37,0
317,30,17,3,55,0
318,20,37,4,59,0
319,20,18,1,56,0
320,30,26,2,21,0
321,20,16,3,1,0
322,20,8,2,52,0
323,20,24,1,3,0
324,10,13,1,13,0
325,10,29,1,7,0
326,10,32,1,6,0
327,30,24,1,6,1
328,100,16,2,34,0
329,20,11,1,32,1
330,20,32,2,16,1
331,30,6,2,38,0
332,20,35,1,8,1
333,10,33,2,21,0
334,100,18,0,57,0
335,50,37,0,11,0
336,20,13,3,50,0
337,10,10,1,23,0
338,50,37,3,6,0
339,100,26,0,46,0
340,50,46,3,15,1
341,10,17,2,11,0
342,50,1,2,27,0
343,30,25,2,15,1
344,50,34,0,45,0
345,20,39,1,38,1
346,20,10,3,4,1
347,30,20,1,14,1
348,10,7,2,45,0
349,20,16,1,10,0
350,100,37,2,57,0
351,20,29,1,54,0
352,20,12,2,29,0
353,10,17,3,12,0
354,50,20,1,56,0
355,20,26,2,40,0
356,30,19,0,20,0
357,50,47,3,37,0
358,100,12,1,2,0
359,10,21,3,20,0
360,100,42,3,12,0
361,50,34,2,38,0
362,50,7,1,30,0
363,50,45,1,47,0
364,100,35,2,18,0
365,50,15,0,50,0
366,100,1,3,10,0
367,50,26,3,7,0
368,30,35,0,42,0
369,50,25,2,5,0
370,100,42,0,48,0
371,20,15,2,29,1
372,50,22,1,51,0
373,20,6,4,35,0
374,30,15,2,39,0
375,10,24,3,51,0
376,30,21,2,12,0
377,50,7,1,10,0
378,20,29,3,37,0
379,20,32,1,2,0
380,100,32,2,3,0
381,20,5,2,14,0
382,100,4,2,47,1
383,10,22,1,20,0
384,50,18,2,45,0
385,100,35,2,49,0
386,10,17,3,52,0
387,20,24,3,4,0
388,20,2,1,51,0
389,10,13,2,26,0
390,20,15,1,47,0
391,10,5,2,15,0
392,100,3,3,9,0
393,100,37,2,3,0
394,10,37,2,2,0
395,100,37,0,39,1
396,100,3,4,41,0
397,100,35,0,54,0
398,30,23,2,30,0
399,50,28,3,37,0
400,20,30,2,17,0
401,30,18,0,3,0
402,100,36,2,9,1
403,10,33,1,8,0
404,100,26,0,9,0
405,50,40,1,56,0
406,100,17,2,17,0
407,10,40,1,24,0
408,50,7,0,8,0
409,100,8,0,53,0
410,50,31,2,14,1
411,20,12,2,54,0
412,20,31,1,16,0
413,100,44,0,18,0
414,50,19,2,49,0
415,10,10,0,24,0
416,100,39,3,39,0
417,20,12,2,52,0
418,20,20,2,47,0
419,100,37,3,27,0
420,50,41,1,28,0
421,20,7,1,7,0
422,50,14,0,34,0
423,20,11,0,27,0
424,20,7,1,34,0
425,30,29,2,39,1
426,20,10,2,19,0
427,10,29,1,6,0
428,100,9,0,30,0
429,100,36,3,28,0
430,50,10,0,12,0
431,20,19,0,15,0
432,10,31,1,45,0
433,50,17,2,39,1
434,30,9,0,39,0
435,50,45,1,15,0
436,50,33,1,58,1
437,20,34,1,36,0
438,30,45,2,3,0
439,50,24,1,1,0
440,10,9,1,7,0
441,10,7,2,9,0
442,100,16,1,1,0
443,30,19,1,5,0
444,30,39,0,47,1
445,100,6,0,36,0
446,50,11,2,10,0
447,30,12,3,2,0
448,10,42,1,23,0
449,10,13,1,39,0
450,20,12,0,29,0
451,30,21,0,56,0
452,50,10,2,19,1
453,100,20,0,38,0
454,100,36,0,47,0
455,50,28,1,20,1
456,20,24,1,12,0
457,100,5,0,11,0
458,30,37,0,35,1
459,20,12,4,52,0
460,30,35,0,49,0
461,10,40,2,7,0
462,20,2,1,23,0
463,100,41,1,55,0
464,20,45,1,50,0
465,20,39,2,17,0
466,20,42,1,48,0
467,20,9,2,57,1
468,30,22,2,2,0
469,10,47,1,5,0
470,50,5,0,21,1
471,20,12,2,13,0
472,100,1,0,11,0
473,20,44,3,24,0
474,100,22,5,33,1
475,30,38,1,27,0
476,100,19,1,55,1
477,50,16,0,35,0
478,10,31,0,18,0
479,100,3,2,21,0
480,100,23,2,4,1
481,10,42,1,41,0
482,50,18,1,32,0
483,20,26,1,43,0
484,100,13,1,49,0
485,10,18,2,11,0
486,30,3,3,3,0
487,10,23,1,51,0
488,30,3,1,52,0
489,50,25,5,55,0
490,20,27,1,21,0
491,10,44,0,43,0
492,100,27,1,58,0
493,50,39,1,14,1
494,10,25,1,6,0
495,100,24,1,51,0
496,10,8,4,53,0
497,30,9,1,29,0
498,10,46,0,31,0
499,10,37,3,47,1
500,10,30,3,28,0
501,50,19,2,43,0
502,10,16,1,50,1
503,100,24,0,36,0
504,30,44,0,28,0
505,30,21,2,19,0
506,10,36,2,3,0
507,50,40,2,12,0
508,50,39,0,36,0
509,100,47,3,24,0
510,10,6,2,12,0
511,30,5,4,24,0
512,50,14,2,1,0
513,10,45,0,28,0
514,50,42,2,16,0
515,50,4,0,21,0
516,30,8,1,30,0
517,20,24,3,34,0
518,100,11,3,26,0
519,100,17,2,54,1
520,30,21,2,35,0
521,50,26,3,31,0
522,10,43,1,16,0
523,50,44,2,58,0
524,30,45,1,42,0
525,100,27,0,29,1
526,50,16,1,29,0
527,100,26,2,9,0
528,10,33,1,14,0
529,100,31,0,57,0
530,100,47,2,8,0
531,20,6,1,2,0
532,20,44,0,11,0
533,20,8,0,2,0
534,100,7,2,59,0
535,30,34,2,47,0
536,100,44,0,18,0
537,30,14,2,5,0
538,30,16,1,58,0
539,20,43,2,57,0
540,50,9,1,7,0
541,10,10,0,23,0
542,20,17,0,19,0
543,20,12,2,19,0
544,50,6,2,58,0
545,10,19,1,48,0
546,100,43,0,19,0
547,100,41,5,49,0
548,20,29,0,45,0
549,10,6,1,40,0
550,20,25,3,28,1
551,30,24,0,11,0
552,20,25,2,50,0
553,20,16,0,11,0
554,100,16,2,55,0
555,100,6,3,9,0
556,100,37,1,14,0
557,30,21,2,34,0
558,100,4,1,29,0
559,10,34,1,49,0
560,50,28,1,21,0
561,10,38,2,48,0
562,10,41,1,58,0
563,100,28,0,5,1
564,50,17,1,33,0
565,50,14,3,9,0
566,50,7,1,3,0
567,30,22,1,14,0
568,100,1,2,18,0
569,50,29,4,12,0
570,30,31,2,23,0
571,20,30,5,14,0
572,20,15,3,16,1
573,30,18,0,37,1
574,30,35,2,20,1
575,100,30,1,20,0
576,100,34,2,15,1
577,20,42,0,41,0
578,50,11,1,25,1
579,20,27,2,17,1
580,50,24,3,12,1
581,50,35,1,45,0
582,100,39,0,42,0
583,10,8,3,39,0
584,10,18,2,59,0
585,30,13,0,56,0
586,100,45,3,53,0
587,50,24,4,7,1
588,10,23,4,8,1
589,50,12,3,24,0
590,10,30,1,47,0
591,10,31,1,25,0
592,10,28,1,21,1
593,100,22,2,50,0
594,20,44,0,54,0
595,50,28,1,33,0
596,100,13,0,10,0
597,100,25,3,22,0
598,100,44,2,19,0
599,100,46,1,29,0
600,100,7,0,3,0
601,30,45,1,39,1
602,50,6,2,4,0
603,100,24,2,37,0
604,50,19,3,31,0
605,30,19,0,6,0
606,30,36,1,28,1
607,50,9,1,10,1
608,10,36,1,12,0
609,20,38,3,46,0
610,10,40,0,54,0
611,10,29,2,2,0
612,10,24,3,3,0
613,100,5,0,1,0
614,30,42,2,35,0
615,10,45,2,24,0
616,30,26,2,47,0
617,50,14,0,48,0
618,20,39,2,52,0
619,50,29,3,34,0
620,50,6,2,20,0
621,100,7,0,16,0
622,20,37,1,30,0
623,50,18,1,47,0
624,50,23,1,39,1
625,20,44,2,25,0
626,20,38,1,5,0
627,50,1,1,29,0
628,20,4,2,37,0
629,50,44,1,28,0
630,50,47,2,53,0
631,100,35,2,58,0
632,10,23,0,41,0
633,50,27,3,23,0
634,30,26,2,32,0
635,10,8,1,46,0
636,10,43,2,51,0
637,10,16,1,18,0
638,100,41,0,41,0
639,50,3,1,35,0
640,100,32,2,43,0
641,50,5,3,24,0
642,100,20,3,47,0
643,100,14,0,28,0
644,30,32,1,36,0
645,100,26,0,21,0
646,20,47,2,56,0
647,30,6,3,5,0
648,100,36,4,26,0
649,10,40,1,50,0
650,20,5,2,54,0
651,20,13,0,23,0
652,20,32,0,44,0
653,30,16,1,33,0
654,100,1,2,26,0
655,100,13,2,57,0
656,10,11,0,22,0
657,10,8,2,20,1
658,20,25,0,2,0
659,10,40,0,41,0
660,30,32,2,54,0
661,100,24,3,57,0
662,20,28,3,18,0
663,10,14,0,5,0
664,30,45,1,54,1
665,30,3,0,32,0
666,10,36,3,46,0
667,100,27,3,11,0
668,10,20,0,21,1
669,20,47,2,22,0
670,10,15,1,3,0
671,30,27,0,9,1
672,10,45,2,2,0
673,100,41,4,46,0
674,50,28,1,28,0
675,10,25,2,34,0
676,100,42,0,53,0
677,100,44,4,59,0
678,30,46,2,10,0
679,100,33,1,19,0
680,100,46,1,29,0
681,100,14,1,2,0
682,100,8,1,48,0
683,20,14,0,6,0
684,20,1,1,44,0
685,30,16,2,54,0
686,10,18,4,7,1
687,100,7,4,36,0
688,10,15,2,8,0
689,10,24,1,19,0
690,30,13,1,10,0
691,100,9,2,33,0
692,100,15,2,37,0
693,50,35,1,38,0
694,10,24,0,27,0
695,10,33,3,29,1
696,20,16,1,19,0
697,50,8,1,18,0
698,20,29,1,51,0
699,20,23,0,51,0
700,20,45,1,23,0
701,30,31,2,1,1
702,30,40,4,59,0
703,20,14,0,52,1
704,50,30,0,43,0
705,10,39,1,3,0
706,50,27,0,10,0
707,100,47,1,59,0
708,30,16,1,7,0
709,10,6,0,49,0
710,10,33,1,56,0
711,100,44,1,26,0
712,100,18,5,16,0
713,20,16,2,39,0
714,30,12,2,45,0
715,30,20,0,32,0
716,50,45,0,12,0
717,20,40,0,44,0
718,20,29,1,8,0
719,20,30,0,8,0
720,20,26,1,45,0
721,30,22,0,11,1
722,30,33,2,57,1
723,20,39,2,33,0
724,50,47,1,25,0
725,10,29,3,17,0
726,10,22,1,31,0
727,50,45,0,19,0
728,20,13,1,45,0
729,30,9,0,55,1
730,10,24,2,15,0
731,100,15,1,56,0
732,100,36,1,44,0
733,50,13,3,53,0
734,20,27,4,49,0
735,10,44,2,35,0
736,20,37,1,39,0
737,10,7,0,2,0
738,50,8,2,34,0
739,50,37,2,25,0
740,100,41,1,38,0
741,20,14,2,4,0
742,100,12,0,16,0
743,20,36,4,32,1
744,100,40,2,15,0
745,30,17,2,42,0
746,30,40,4,14,1
747,30,29,2,41,0
748,30,27,4,15,0
749,10,1,1,7,0
750,30,34,3,7,1
751,50,4,1,8,0
752,50,24,1,19,0
753,10,21,0,18,0
754,30,33,0,17,0
755,30,7,0,18,0
756,30,1,2,19,0
757,100,41,0,53,0
758,20,3,2,40,0
759,100,44,2,13,0
760,20,15,2,59,0
761,30,31,3,11,0
762,30,16,2,51,0
763,100,10,3,7,0
764,100,29,1,27,0
765,20,6,1,59,0
766,50,29,3,37,0
767,20,17,3,5,0
768,100,22,1,8,0
769,100,24,0,10,1
770,10,17,1,37,0
771,100,21,3,26,0
772,10,11,0,15,0
773,50,7,0,55,0
774,20,42,2,16,0
775,20,39,3,29,0
776,10,5,2,28,0
777,20,44,0,10,1
778,100,21,2,56,0
779,30,18,3,40,0
780,10,35,1,51,0
781,20,20,2,4,0
782,10,15,2,46,0
783,10,5,0,40,0
784,30,13,1,53,0
785,100,12,2,14,0
786,10,21,0,44,0
787,20,37,2,33,0
788,50,6,2,55,0
789,10,7,1,51,0
790,10,26,1,18,1
791,30,42,3,12,0
792,100,8,0,10,1
793,50,9,1,21,1
794,20,27,1,33,0
795,50,4,1,14,0
796,20,21,1,9,0
797,100,31,1,26,0
798,20,21,2,15,0
799,30,40,2,21,0
800,30,25,4,22,0
801,30,39,2,55,0
802,30,15,2,46,0
803,50,35,1,41,1
804,100,43,3,43,0
805,20,41,0,5,1
806,20,37,0,44,0
807,30,42,1,16,0
808,30,47,3,52,0
809,10,28,1,35,0
810,100,14,1,5,1
811,50,4,0,26,0
812,20,20,2,26,0
813,10,34,1,51,0
814,10,12,1,5,0
815,20,33,1,56,1
816,50,24,3,50,0
817,10,20,3,36,0
818,10,5,1,24,0
819,100,38,2,15,0
820,50,30,3,30,0
821,10,24,3,5,0
822,50,43,1,40,0
823,20,40,1,48,0
824,30,7,4,22,0
825,10,36,4,33,0
826,100,38,2,5,0
827,20,16,1,58,0
828,50,15,4,32,0
829,20,46,1,50,0
830,10,23,2,48,0
831,50,12,2,23,0
832,30,29,1,10,0
833,20,44,2,36,0
834,10,15,2,50,0
835,100,29,2,17,0
836,50,45,1,53,0
837,20,43,1,27,0
838,20,21,0,58,0
839,30,15,2,45,1
840,30,14,3,8,1
841,100,42,4,40,0
842,100,44,0,44,0
843,10,16,1,58,0
844,10,15,1,50,0
845,100,42,1,6,0
846,100,4,1,7,0
847,50,27,2,26,0
848,30,23,3,17,0
849,10,29,5,37,0
850,30,41,4,54,0
851,30,9,3,23,0
852,100,43,2,27,1
853,50,43,1,57,0
854,20,7,1,51,0
855,50,42,1,40,0
856,50,4,2,58,1
857,30,5,0,19,0
858,50,5,2,27,0
859,10,11,2,25,0
860,30,41,2,40,0
861,10,28,0,25,1
862,20,16,0,21,0
863,30,41,2,59,0
864,20,30,0,25,0
865,30,4,0,51,0
866,100,2,1,7,0
867,50,46,1,35,0
868,100,3,0,6,0
869,20,21,0,40,0
870,50,6,3,50,0
871,30,43,0,15,0
872,50,18,2,24,0
873,10,44,1,49,0
874,50,5,0,4,0
875,10,9,3,7,0
876,50,20,2,30,1
877,10,28,3,17,0
878,20,26,3,54,0
879,100,18,2,58,0
880,30,19,1,38,0
881,50,3,3,30,1
882,100,9,2,45,1
883,30,36,2,39,0
884,30,31,1,9,0
885,10,17,3,55,0
886,20,23,0,19,1
887,20,34,1,52,0
888,100,41,1,13,0
889,20,41,0,47,0
890,50,5,1,49,0
891,20,15,1,37,1
892,100,47,3,55,0
893,20,3,1,19,0
894,50,19,2,6,0
895,10,28,2,12,0
896,100,3,1,15,1
897,10,38,2,47,0
898,10,4,1,3,0
899,10,24,0,4,0
900,30,31,0,37,0
901,30,45,3,38,0
902,10,45,2,6,0
903,100,11,1,49,0
904,50,37,4,28,0
905,50,1,0,8,0
906,20,9,2,51,0
907,100,17,2,52,0
908,30,1,2,56,0
909,10,3,2,31,0
910,20,47,0,21,1
911,50,26,0,54,1
912,30,31,0,45,0
913,30,26,1,29,1
914,10,23,2,15,0
915,50,30,0,49,0
916,100,10,0,24,0
917,30,8,1,21,0
918,10,44,1,49,1
919,100,25,2,23,0
920,50,22,0,31,0
921,30,15,1,34,0
922,100,41,0,28,0
923,100,10,1,32,0
924,100,20,1,22,0
925,30,41,2,3,0
926,30,47,1,54,0
927,20,23,2,9,0
928,50,1,1,6,0
929,10,2,2,1,0
930,100,19,1,22,0
931,20,14,2,51,0
932,10,8,2,4,0
933,20,38,1,45,0
934,30,12,0,52,1
935,100,26,0,57,0
936,10,27,2,8,0
937,10,29,2,55,0
938,10,15,1,37,1
939,10,46,1,42,0
940,10,1,0,59,0
941,20,43,1,52,0
942,100,28,2,19,0
943,30,3,0,44,0
944,30,18,1,1,0
945,30,34,2,41,1
946,30,32,2,24,0
947,20,29,4,48,0
948,50,25,1,17,0
949,100,26,1,32,0
950,10,39,0,50,0
951,50,8,2,14,0
952,30,19,1,17,0
953,50,47,1,32,0
954,100,42,0,33,0
955,10,22,1,30,1
956,10,29,0,57,0
957,100,33,1,53,0
958,100,38,0,47,0
959,30,45,2,51,0
960,10,46,0,34,0
961,50,35,3,28,1
962,20,43,3,24,1
963,20,3,1,56,0
964,100,19,0,14,0
